name,price_low,price_high,rating_num,rating,description
"Coleman Performance Portable Cooler, 48 Quart",$24.24 ,$36.54 ,95,4.2,"Holds 63 cans
Tall enough to carry 2L bottles upright
ThermOZONE insulation"
Igloo 28 Quart Island Breeze Cooler,$17.47 ,$17.47 ,12,3.3,28 Qt Island Breeze Maj B
"Coleman 16-Quart Performance Cooler with Wheels, Red",$19.92 ,$32.94 ,105,4.3,"Holds 22 cans
Long, comfortable, telescoping pull handle
Large, molded side handles"
"Coleman 70-Quart Xtreme 5-Day Heavy-Duty Cooler, Blue",$31.20 ,$62.10 ,361,4.5,"Holds 100 cans
Xtreme 5 Technology keeps ice up to 5 days
Have-A-Seat lid supports up to 250 pounds so you always have a place to sit and rest"
"Igloo 5-Gallon Heavy-Duty Beverage Cooler, Orange",$21.88 ,$21.88 ,143,4.8,"Maintains ice for 3 days
Drip-resistant spigot
Reinforced handles"
Lifetime 77 Quart High Performance Cooler,$147.00 ,$147.00 ,70,4.1,"Heavy-duty polyethylene construction
Up to 9-day ice retention
2 rubber latches; easily opened with one hand"
Ozark Trail 73-Quart High-Performance Cooler,$184.00 ,$184.00 ,177,4.1,"Premium insulation keeps ice for more than 9 days
Roto-molded, seamless, one-piece construction with UV-resistant exterior
heavy-duty handles with comfort grips for easy carrying"
"Rubbermaid 48 qt Ice Chest Cooler, Blue",$25.95 ,$25.95 ,18,4,"Easy-to-clean liner
Hinged lid
Holds 68 cans plus ice"
Ozark Trail Premium 24-Can Cooler,$39.95 ,$39.95 ,19,3.4,"Made from easy to clean 600D Coated material
Spacious interior fits 24 Cans plus ice
Quick In Entry"
"Coleman 120-Quart Xtreme 6-Day Heavy-Duty Cooler, Dark Blue",$58.00 ,$82.99 ,266,4.2,"Keeps ice 5 days at 90 degrees F
190-can capacity
Contains no CFCs, HFCs, and HCFCs"
"Ozark Trail 48 Can Zipperless Cooler with Smartshelf, Gray",$49.95 ,$49.95 ,14,4.2,"Patented, easy access Zipperless lid
High performance insulation with radiant heat barrier
FDA compliant hard liner with removable shelf"
Coleman 30-Can Soft Cooler Bag Keeps Ice Up to 24 Hours,$16.92 ,$16.92 ,37,4.1,"24-hour ice retention at temperatures up to 90 degrees Fahrenheit
Holds 30 Cans
Shoulder straps adjust for comfortable hands-free carrying"
Igloo?? Quantum??? 12 Quart Black Personal Cooler,$14.97 ,$14.97 ,103,4.4,"Swing-up carry handle
Dry storage
2 self-draining cup holders in lid"
Ozark Trail 60-Quart High Performance Rolling Cooler,$197.00 ,$197.00 ,46,4.3,"Premium insulation keeps ice for up to 8 days
Roto-molded, seamless, one-piece construction with UV-resistant exterior
Angled, telescoping handle and heavy duty, wheels"
Ozark Trail High Performance Cooler Wheel Kit,$39.84 ,$39.84 ,43,4,"Designed to fit Ozark Trail 52 and 73 quart high-performance coolers
Kit includes: 2 10-inch pneumatic wheels, 1 steel chassis, 1 T-handle, 2 foot extenders, 2 webbing assemblies and"
Igloo 52 Qt Quantum Roller,$34.97 ,$34.97 ,32,3.4,"Holds up to 85 Cans
Locking, telescoping handle equipped with Gear Hangers to hold purses, shopping bags, and more
Wheeled for easy transport and can either be pushed or pulled"
"Ozark Trail Premium 20 Can Backpack Cooler, Green",$39.88 ,$39.88 ,86,3.4,"Made from easy to clean 600D-coated material
Fully adjustable cushioned backpack straps
Spacious interior fits 20 cans plus ice"
Igloo Backpack Cooler,$32.84 ,$32.84 ,55,4.4,"Softside backpack cooler
Fully insulated to keep food and drinks cold
Exterior pockets for drinks and gear"
Igloo 54-Quart Super-Tough STX Cooler,$83.32 ,$101.99 ,18,4.6,"Stainless steel latch, hinges and screws
Bolt-through comfort grip handles
Cool Riser technology"
Igloo Marine 25QT Contour 49644 White Cooler,$19.99 ,$19.99 ,11,4.2,"Cool Riser Technology offers an elevated design to promote airflow underneath for improved cooling performance
UV resistant exterior and odor resistant interior
Swing-up carry"
Ozark Trail 12-Can Premium Cooler,$29.88 ,$29.88 ,27,3.5,"Made from easy to clean 600D-coated material
Spacious interior fits 12 cans plus ice
Convenient bottle opener on front of cooler"
"Igloo Products Corp., Igloo Playmate Mini Red Cooler, 1 cooler",$23.41 ,$23.41 ,43,4,"Side push button and trademarked tent shaped lid
Lid swings open to either side"
Igloo Quick and Cool 100 Qt. Cooler,$54.99 ,$54.99 ,48,4.3,"100-Quart capacity
Holds 145 cans
Threaded drain plug"
"Coleman 30-Can Soft Cooler with Removable Liner, Green",$19.99 ,$19.99 ,100,4.5,"Holds 30 cans
Removable hard plastic liner for carrying flexibility
Adjustable shoulder strap"
Igloo Marine Ultra 30-Quart Cooler,$41.40 ,$41.40 ,12,3.9,"Holds 41 cans 
Keep ice up to 3 days
Lightweight, Durable, and Easy to Clean"
Coleman 70-Quart Xtreme 5-Day Cooler,$50.21 ,$50.21 ,9,3.2,"Up to 5 days at temperatures up to 90 degrees Fahrenheit
70-quart capacity holds up to 100 cans
No-crush handle grips allow for comfortable, controlled lifting and carrying"
Coleman 24-Can Party Stacker Cooler,$16.90 ,$25.38 ,88,4.5,"Holds 24 cans plus ice
Wide base fits warm serving dishes
Stacking design"
Coleman 40-Quart PowerChill Thermoelectric Cooler with Power Cord,$136.00 ,$136.00 ,671,4.2,"Capacity: 44 cans plus snacks
Cools to 40 degrees Fahrenheit below surrounding temperature
Plug it into your outlet at home (with a separate adaptor) or in your vehicle with the"
Coleman 45 Can Collapsible Sport Cooler,$28.76 ,$28.76 ,6,4.3,45 CAN COLLAPSIBLE SPORT COOLR
Ozark Trail 110QT High Performance Super Cooler with Wheels,$247.00 ,$247.00 ,4,5,"Premium insulation keeps ice for up to 12 days
Roto-molded, seamless, one-piece construction with UV-resistant exterior
Durable, secure T-handle latches"
"Rubbermaid 75 qt 5-Day Wheeled Ice Chest, Blue",$49.97 ,$49.97 ,166,3.5,"Easy-to-clean liner
Side swing handle with comfort grip
Holds 130 cans plus ice"
